date,selic,selic_aa
1994-07-01,0.06870102603131278,1.2196
1994-08-01,0.04169888521238874,0.6327
1994-09-01,0.03829954999541618,0.5699
1994-10-01,0.03619848942165804,0.5322
1994-11-01,0.04069937609252694,0.614
1994-12-01,0.03800145901403629,0.5645
1995-01-01,0.03369711721997004,0.4884
1995-02-01,0.03249725793249225,0.4678
1995-03-01,0.042598465031309374,0.6497
1995-04-01,0.042598465031309374,0.6497
1995-05-01,0.042498346649263,0.6478
1995-06-01,0.040397992110799974,0.6084
1995-07-01,0.0401983352428148,0.6047
1995-08-01,0.03839870481209262,0.5717
1995-09-01,0.03319806762805766,0.4798
1995-10-01,0.030901033429417524,0.4408
1995-11-01,0.028802734843287103,0.406
1995-12-01,0.027797326784140264,0.3896
1996-01-01,0.025797539890886734,0.3575
1996-02-01,0.023502553774858104,0.3215
1996-03-01,0.022202677931377535,0.3015
1996-04-01,0.02069829370635423,0.2787
1996-05-01,0.02009768026272818,0.2697
1996-06-01,0.019802625354918835,0.2653
1996-07-01,0.01929751603862173,0.2578
1996-08-01,0.0197018234547226,0.2638
1996-09-01,0.018999898772662727,0.2534
1996-10-01,0.01859931439951068,0.2475
1996-11-01,0.017998593891698667,0.2387
1996-12-01,0.017998593891698667,0.2387
1997-01-01,0.017297389541042874,0.2285
1997-02-01,0.01670201887885292,0.2199
1997-03-01,0.01640288933235179,0.2156
1997-04-01,0.016597781292476688,0.2184
1997-05-01,0.015801709042215117,0.207
1997-06-01,0.016102788260485168,0.2113
1997-07-01,0.015997872059248186,0.2098
1997-08-01,0.015899842632533412,0.2084
1997-09-01,0.015899842632533412,0.2084
1997-10-01,0.01670201887885292,0.2199
1997-11-01,0.030398835882791575,0.4324
1997-12-01,0.029700868474140663,0.4208
1998-01-01,0.02669994323004521,0.3719
1998-02-01,0.021301653562546985,0.2878
1998-03-01,0.021999560185809175,0.2984
1998-04-01,0.01709705314443899,0.2256
1998-05-01,0.01629831358949385,0.2141
1998-06-01,0.015997872059248186,0.2098
1998-07-01,0.01700018345306642,0.2242
1998-08-01,0.014800414338908885,0.1928
1998-09-01,0.024899035810598713,0.3433
1998-10-01,0.02939840816449979,0.4158
1998-11-01,0.02629995226826276,0.3655
1998-12-01,0.023998202718634065,0.3292
1999-01-01,0.021802570919469133,0.2954
1999-02-01,0.02379897306131107,0.3261
1999-03-01,0.03330273945860096,0.4816
1999-04-01,0.023502553774858104,0.3215
1999-05-01,0.020198052963769086,0.2712
1999-06-01,0.01670201887885292,0.2199
1999-07-01,0.016597781292476688,0.2184
1999-08-01,0.015703471056599527,0.2056
1999-09-01,0.014899617675327992,0.1942
1999-10-01,0.013802467525297013,0.1788
1999-11-01,0.013902749694121308,0.1802
1999-12-01,0.015997872059248186,0.2098
2000-01-01,0.014601687054440093,0.19
2000-02-01,0.014502162624267179,0.1886
2000-03-01,0.014502162624267179,0.1886
2000-04-01,0.013003486321556679,0.1677
2000-05-01,0.014899617675327992,0.1942
2000-06-01,0.013902749694121308,0.1802
2000-07-01,0.013097419769288354,0.169
2000-08-01,0.014102987320446125,0.183
2000-09-01,0.012197512451368464,0.1566
2000-10-01,0.012902219957425354,0.1663
2000-11-01,0.012197512451368464,0.1566
2000-12-01,0.01200039289517818,0.1539
2001-01-01,0.012699352504045969,0.1635
2001-02-01,0.010199586180421605,0.1295
2001-03-01,0.012597750899983051,0.1621
2001-04-01,0.011898016243311549,0.1525
2001-05-01,0.013400244010289386,0.1732
2001-06-01,0.012699352504045969,0.1635
2001-07-01,0.014998714461245566,0.1956
2001-08-01,0.015997872059248186,0.2098
2001-09-01,0.013198471840494497,0.1704
2001-10-01,0.015302419470205164,0.1999
2001-11-01,0.013902749694121308,0.1802
2001-12-01,0.013902749694121308,0.1802
2002-01-01,0.015302419470205164,0.1999
2002-02-01,0.012503306037707329,0.1608
2002-03-01,0.01370207612201968,0.1774
2002-04-01,0.014800414338908885,0.1928
2002-05-01,0.014102987320446125,0.183
2002-06-01,0.013299413169677532,0.1718
2002-07-01,0.01540108490228187,0.2013
2002-08-01,0.014402530679339165,0.1872
2002-09-01,0.013802467525297013,0.1788
2002-10-01,0.01650038669109244,0.217
2002-11-01,0.01540108490228187,0.2013
2002-12-01,0.017400841772181597,0.23
2003-01-01,0.0197018234547226,0.2638
2003-02-01,0.01829944141760631,0.2431
2003-03-01,0.017799771976659606,0.2358
2003-04-01,0.018701322254513375,0.249
2003-05-01,0.0197018234547226,0.2638
2003-06-01,0.01859931439951068,0.2475
2003-07-01,0.020798019005551227,0.2802
2003-08-01,0.017696765176043128,0.2343
2003-09-01,0.01679920134438384,0.2213
2003-10-01,0.01640288933235179,0.2156
2003-11-01,0.013400244010289386,0.1732
2003-12-01,0.01370207612201968,0.1774
2004-01-01,0.012699352504045969,0.1635
2004-02-01,0.010801315867373207,0.1376
